,over-canon,over-near1,over-near2,over-far1
ground_lightsource,0.0,0.0,0.0,0.0
ground_container,0.0,0.0,0.0,0.0
support,0.04369897858144041,0.00026255448598812563,0.08660735608639022,0.0005799195633477677
ground_verticality,0.0,0.0,0.0,0.0
size_ratio,0.0,0.0,0.0,0.0
shortest_distance,0.00019673089184709183,0.0031957025536137515,0.023957555348422054,0.004020325329392521
contact_proportion,0.00734000696792419,0.0003754478045519755,0.0005810042967296335,0.007333991637328083
above_proportion,0.11480485307352575,0.0005998246309657985,0.1405714446999223,0.019731631721342673
below_proportion,0.029965738077275567,0.00255720741940343,0.02126964368713609,0.0023918317055160697
bbox_overlap_proportion,0.04167534960463327,0.0002668761898453767,0.016696069315295017,0.009115010597941049
horizontal_distance,0.011975562796338938,0.001172547201136772,0.01728507932188458,0.002247538560536346
f_covers_g,0.058696451818604896,0.003346196386861617,0.005942330609221072,0.0004796450878466395
g_covers_f,0.08034438488375438,0.0004924665646927292,0.002011763849896587,0.017452101588007474
figure_lightsource,0.0,0.0,0.0,0.0
figure_container,0.0,0.0,0.0,0.0
location_control,0.01445771131194431,0.001115248724035955,0.00832231202642714,0.0036117647039423098
